filename,label,length,split,adf_p,kpss_p,poly_r2,var_increasing,diff_stationary,smart_label
series_0.csv,deterministic,114,train,0.933557782558718,0.01,0.9998552224765389,False,True,deterministic
series_1.csv,stochastic,61,train,0.17586730762317204,0.01,0.622419613239322,False,True,inconclusive
series_2.csv,deterministic,65,train,0.9785740947847897,0.01,0.9985916173355092,False,True,deterministic
series_3.csv,stochastic,150,train,0.6688965665271395,0.1,0.47636142621960464,False,True,inconclusive
series_4.csv,stochastic,86,train,0.6701802489251888,0.08084097191232822,0.5611724792326369,False,True,inconclusive
series_5.csv,no_trend,119,train,0.00021461896657617695,0.1,0.0049163541843602054,False,True,no_trend
series_6.csv,stochastic,140,train,0.3084845386033242,0.01,0.8169281213277858,False,True,inconclusive
series_7.csv,stochastic,102,train,0.2507670916184729,0.1,0.4778360048551389,False,True,inconclusive
series_8.csv,stochastic,90,train,0.035152681028852786,0.01,0.7126183058629088,False,True,inconclusive
series_9.csv,deterministic,52,train,0.9934726841244487,0.01,0.9994148300830126,False,True,deterministic
series_10.csv,stochastic,146,train,0.17715880350843555,0.01,0.5916038797316221,False,True,inconclusive
series_11.csv,stochastic,75,train,0.7442313015791122,0.1,0.572115689990284,True,True,stochastic
series_12.csv,stochastic,92,train,0.9697594377498387,0.01,0.9300963861086604,True,True,stochastic
series_13.csv,deterministic,123,train,0.9572342452708499,0.01,0.9997790617744354,False,True,deterministic
series_14.csv,deterministic,51,train,0.9492213879481247,0.01,0.9962233797956088,False,True,deterministic
series_15.csv,deterministic,136,train,0.8260663737137875,0.01,0.9998920607936366,False,True,deterministic
series_16.csv,deterministic,49,train,0.9633727072290194,0.01,0.998182709901405,False,True,deterministic
series_17.csv,stochastic,84,train,0.24522624616856203,0.043821389546256286,0.5170731395791333,False,True,inconclusive
series_18.csv,no_trend,85,train,7.587097076436527e-17,0.1,0.018659507428861577,False,True,no_trend
series_19.csv,no_trend,76,train,6.461281642722474e-14,0.1,0.03138674455046664,False,True,no_trend
series_20.csv,deterministic,33,train,0.9659468083321932,0.01,0.9946058036265991,False,True,deterministic
series_21.csv,no_trend,58,train,1.0221557980063665e-09,0.04243391611046971,0.08481881870683905,False,True,inconclusive
series_22.csv,no_trend,101,train,0.022465290329265704,0.1,0.022684117583646524,False,True,no_trend
series_23.csv,no_trend,76,train,0.0008492394911338792,0.1,0.009084327118857538,True,True,no_trend
series_24.csv,deterministic,27,train,0.7983944187283644,0.01,0.9505688528431646,False,False,deterministic
series_25.csv,deterministic,66,train,0.9711693218368065,0.01,0.9996719665082658,False,True,deterministic
series_26.csv,deterministic,73,train,0.8975457551765689,0.01,0.9997163729098367,False,True,deterministic
series_27.csv,no_trend,99,train,1.8718025758456108e-17,0.1,0.027887848627819678,False,True,no_trend
series_28.csv,deterministic,81,train,0.9479467318683742,0.01,0.999629437300912,False,True,deterministic
series_29.csv,stochastic,132,train,0.3934504162645551,0.01,0.6152873699965549,False,True,inconclusive
series_30.csv,no_trend,71,train,1.2194421455965524e-12,0.1,0.01376168507257891,False,True,no_trend
series_31.csv,no_trend,119,train,1.1937708903130977e-17,0.1,0.00021723883238500274,False,True,no_trend
series_32.csv,stochastic,114,train,0.8192643468713334,0.01,0.4120171626429425,False,True,inconclusive
